Survey ID (Name)	Contributor	Data Type	Year	Planning Area (Region)	Protraction Area	Other Survey Identifiers (Permit, etc.)	Link To Survey Web Page
A-1-00-SC Multichannel	Pacific Coastal and Marine Science Center	2D Multichannel Seismic	2000	Southern California	Long Beach,Los Angeles,San Diego,Santa Ana		https://walrus.wr.usgs.gov/namss/survey/a-1-00-sc-multichannel/
A-1-02-SC_gimcs	Pacific Coastal and Marine Science Center	2D Multichannel Seismic	2002	Southern California	Los Angeles,Santa Maria		https://walrus.wr.usgs.gov/namss/survey/a-1-02-sc_gimcs/
A-1-02-SC_msmcs	Pacific Coastal and Marine Science Center	2D Multichannel Seismic	2002	Southern California	Los Angeles,Santa Maria		https://walrus.wr.usgs.gov/namss/survey/a-1-02-sc_msmcs/
B-00-79-LA	Bureau of Ocean Energy Management	2D Multichannel Seismic	1979	Central Gulf of Mexico	South Marsh Island Area, South Addition,Vermilion Area, South Addition	L79-100	https://walrus.wr.usgs.gov/namss/survey/b-00-79-la/
B-01-75-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1975	Middle Atlantic,North Atlantic	Baltimore Rise,Block Canyon,Block Island Shelf,Hudson Canyon,New York,Salisbury,Wilmington Canyon	E01-75	https://walrus.wr.usgs.gov/namss/survey/b-01-75-at/
B-01-77-LA	Bureau of Ocean Energy Management	2D Multichannel Seismic	1977	Central Gulf of Mexico	Mississippi Canyon,South Pass Area	L77-101	https://walrus.wr.usgs.gov/namss/survey/b-01-77-la/
B-01-78-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1978	North Atlantic	Hudson Canyon	E01-78	https://walrus.wr.usgs.gov/namss/survey/b-01-78-at/
B-01-80-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1980	Middle Atlantic,South Atlantic	Beaufort,Cape Fear,Currituck Sound,Jacksonville,Manteo,Marmer,Richardson Hills,Russell,Stetson Mesa,Wittman	E01-80	https://walrus.wr.usgs.gov/namss/survey/b-01-80-at/
B-01-81-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1981	Middle Atlantic,North Atlantic,South Atlantic	Baltimore Rise,Blake Spur,Block Canyon,Block Island Shelf,Chincoteague,Corsair Canyon,Currituck Sound,Harrington Hill,Hoyt Hills,Hudson Canyon,Hydrographer Canyon,Lydonia Canyon,Salisbury,Stetson Mesa,Veatch Canyon,Wilmington Canyon	E01-81	https://walrus.wr.usgs.gov/namss/survey/b-01-81-at/
B-01-82-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1982	Florida South	Andros,Bahamas,Bimini,Ft. Pierce,Rompidas Ledge,Walker Cay	E01-82	https://walrus.wr.usgs.gov/namss/survey/b-01-82-at/
B-01-82-LA	Bureau of Ocean Energy Management	2D Multichannel Seismic	1982	Central Gulf of Mexico,Eastern Gulf of Mexico,Western Gulf of Mexico	Alaminos Canyon,Atwater Valley,Corpus Christi,De Soto Canyon,East Breaks,Keathley Canyon,Lloyd Ridge,Lund,Mississippi Canyon,Port Isabel,Walker Ridge	T82-001	https://walrus.wr.usgs.gov/namss/survey/b-01-82-la/
B-01-83-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1983	North Atlantic	Hydrographer Canyon,Lydonia Canyon	E01-83	https://walrus.wr.usgs.gov/namss/survey/b-01-83-at/
B-01-84-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1984	North Atlantic	Browns Bank,Cashes Ledge,Chatham,Corsair Canyon,Lydonia Canyon	E01-84	https://walrus.wr.usgs.gov/namss/survey/b-01-84-at/
B-01-88-AT	Bureau of Ocean Energy Management	2D Multichannel Seismic	1988	Middle Atlantic,North Atlantic	Block Canyon,Block Island Shelf,Chincoteague,Currituck Sound,New York	ATLSEGY13-1,E3-88	https://walrus.wr.usgs.gov/namss/survey/b-01-88-at/
B-01-89-GM	Bureau of Ocean Energy Management	2D Multichannel Seismic	1989	Central Gulf of Mexico	East Cameron Area,East Cameron Area, South Addition,South Marsh Island Area,Vermilion Area,Vermilion Area, South Addition,West Cameron Area,West Cameron Area, South Addition,West Cameron Area, West Addition	GOMSEGY14-1	https://walrus.wr.usgs.gov/namss/survey/b-01-89-gm/
